original_name,size_bytes,sha256,decision,reason
#U062e#U0637#U0629_#U0627#U0644#U0638#U0644_#U0627#U0644#U0647#U0627#U062f#U0626 (1).csv,8459,79a89cdc1d509f8d,ARCHIVE,Preserved as source because it was not central enough to develop.
#U062e#U0637#U0629_#U0627#U0644#U0638#U0644_#U0627#U0644#U0647#U0627#U062f#U0626.csv,8459,79a89cdc1d509f8d,ARCHIVE,"Data/source material, not software. One duplicate exists."
#U0633#U0643#U0631 - #U0635#U0648#U0631#U0629.csv,921,7268f86d8783bdd0,ARCHIVE,Smaller related data export; preserve as reference.
#U0633#U0643#U0631.csv,1100,5b6449b0ac1f1b4d,ARCHIVE,Raw data; unrelated to the software-development core of this archive.
#U0645#U0644#U0641_#U0627#U0644#U0647#U062f#U0648#U0621_#U0627#U0644#U0642#U0631#U0645#U0632#U064a_#U0627#U0644#U0645#U0639#U062f#U0644.pdf,30527,8c875894df6240e5,ARCHIVE,"Static reference document; keep as historical source, not development code."
2-1.html,3084,13a13abd9bdd165e,DEVELOP NOW,"Actually runnable game skeleton with state, dice, events and week progression. It is small enough to rebuild instead of untangling."
2.html,26531,1d1ac308d790e861,RESCUE,Near-duplicate older RED version; preserve only for comparing content/design decisions against 6.html.
3.html,26559,524c317b65365ce9,RESCUE,"Near-duplicate older RED version; almost identical to 4.html, useful only as a historical checkpoint."
4.html,26463,002d218d88e77690,RESCUE,"Latest of the near-identical 2–4 family; keep as historical fallback, not a new branch."
5.html,13484,73fb21106842d0ea,RESCUE,"Translation/PWA experiment, but the click handler is explicitly incomplete; only salvage localization logic."
6.html,39015,27fe7ea8d60c7ad0,DEVELOP NOW,Best RED visual/content shell in the archive; strongest final direction among RED variants. It still needs real state/data architecture.
Eissa_RPG_App (1).zip,3081,658b54eba84ad625,DUPLICATE,Byte-for-byte duplicate of Eissa_RPG_App.zip.
Eissa_RPG_App.zip,3081,658b54eba84ad625,ARCHIVE,Placeholder-like six-file app; no meaningful state engine. A later rebuild should supersede it.
Eissa_RPG_Tracker.zip,2076,97d1064d74523615,DEVELOP NOW,Small but structurally useful PWA skeleton with manifest/service worker/script/css; good seed for an installable tracker.
boot.html,12220,84396db9943f5ef9,RESCUE,Solid isolated side-nav/focus-trap microcomponent; worth extracting into a component library.
cv ana MZG.html,25158,75a77b2daa58a5a2,RESCUE,"Good modal/project/theme shell; useful components, but superseded by dvt."
cv ana ZG.html,14268,7fb18d6a598de365,RESCUE,Simple personal-profile baseline; keep for content lineage.
cv ana bod.html,61915,371d8457c6b79af2,RESCUE,"Feature-rich CV variant with storage, achievements, notifications and form, but several behaviors are simulated and PWA assets are missing."
