اليوم,التاريخ,الساعة,مهمة
اليوم 1 - كسر القناع,2025-07-22,06:00,تأمل أمام المرآة وكرر: 'أنا أتصرف بلطف مفرط لأنني أخاف من رفض الناس لي'
اليوم 1 - كسر القناع,2025-07-22,09:00,صارح شخصًا بشيء كنت تتجنبه
اليوم 1 - كسر القناع,2025-07-22,12:00,أجب على: ما الذي لم أقله خوفًا من أن أبدو قاسيًا؟
اليوم 1 - كسر القناع,2025-07-22,15:00,----
اليوم 1 - كسر القناع,2025-07-22,18:00,----
اليوم 1 - كسر القناع,2025-07-22,21:00,----
اليوم 2 - اختبار الـ “لا”,2025-07-23,06:00,قل 'لا' لطلب صغير بوضوح وبدون تبرير
اليوم 2 - اختبار الـ “لا”,2025-07-23,09:00,اكتب 3 مواقف كان يجب أن تقول فيها لا
اليوم 2 - اختبار الـ “لا”,2025-07-23,12:00,أجب على: ما أسوأ شيء أتوقعه لو قلت لا؟
اليوم 2 - اختبار الـ “لا”,2025-07-23,15:00,----
اليوم 2 - اختبار الـ “لا”,2025-07-23,18:00,----
اليوم 2 - اختبار الـ “لا”,2025-07-23,21:00,----
اليوم 3 - الخط الأحمر,2025-07-24,06:00,اكتب 5 جمل تبدأ بـ 'أنا لا أقبل أن...'
اليوم 3 - الخط الأحمر,2025-07-24,09:00,طبّق واحدة منها اليوم
اليوم 3 - الخط الأحمر,2025-07-24,12:00,أجب على: أي جملة كانت الأصعب عليّ؟ ولماذا؟
اليوم 3 - الخط الأحمر,2025-07-24,15:00,----
اليوم 3 - الخط الأحمر,2025-07-24,18:00,----
اليوم 3 - الخط الأحمر,2025-07-24,21:00,----
اليوم 4 - الهجوم الوقائي,2025-07-25,06:00,بادر بتحديد حدودك قبل أن يُطلب منك شيء
اليوم 4 - الهجوم الوقائي,2025-07-25,09:00,راقب مشاعرك بعد إعلان الحدود
اليوم 4 - الهجوم الوقائي,2025-07-25,12:00,أجب على: لماذا سكت عن قول رأيي في أول موقف اليوم؟
اليوم 4 - الهجوم الوقائي,2025-07-25,15:00,----
اليوم 4 - الهجوم الوقائي,2025-07-25,18:00,----
اليوم 4 - الهجوم الوقائي,2025-07-25,21:00,----
اليوم 5 - تحمل الغضب,2025-07-26,06:00,اصطدم بلطف مع شخص لا يعجبه الحزم
اليوم 5 - تحمل الغضب,2025-07-26,09:00,سجل مشاعرك بعد المواجهة
اليوم 5 - تحمل الغضب,2025-07-26,12:00,أجب على: لماذا شعرت بالذنب بعد دفاعي عن نفسي؟
اليوم 5 - تحمل الغضب,2025-07-26,15:00,----
اليوم 5 - تحمل الغضب,2025-07-26,18:00,----
اليوم 5 - تحمل الغضب,2025-07-26,21:00,----
اليوم 6 - هدوء الجبل,2025-07-27,06:00,اتخذ قرارات بدون تبرير طوال اليوم
اليوم 6 - هدوء الجبل,2025-07-27,09:00,راقب من يحاول الضغط عليك لتبرير نفسك
اليوم 6 - هدوء الجبل,2025-07-27,12:00,أجب على: ما القرار الذي أبرره رغم أنه لا يحتاج؟
اليوم 6 - هدوء الجبل,2025-07-27,15:00,----
اليوم 6 - هدوء الجبل,2025-07-27,18:00,----
اليوم 6 - هدوء الجبل,2025-07-27,21:00,----
اليوم 7 - الرفض الذهبي,2025-07-28,06:00,ارفض طلبًا بلباقة وحزم
اليوم 7 - الرفض الذهبي,2025-07-28,09:00,سجل ما شعرت به وردة الفعل
اليوم 7 - الرفض الذهبي,2025-07-28,12:00,أجب على: هل أفسدت الناس بلطفي الزائد؟
اليوم 7 - الرفض الذهبي,2025-07-28,15:00,----
اليوم 7 - الرفض الذهبي,2025-07-28,18:00,----
اليوم 7 - الرفض الذهبي,2025-07-28,21:00,----
اليوم 8 - دمج الحزم والهدوء,2025-07-29,06:00,اختر مهمة من يوم سابق وكررها بوعي وثبات
اليوم 8 - دمج الحزم والهدوء,2025-07-29,09:00,سجل الفرق بين رد فعلك اليوم ورد فعلك في اليوم الأول
اليوم 8 - دمج الحزم والهدوء,2025-07-29,12:00,أجب على: من أحاول ألا أكونه؟ ولماذا؟
اليوم 8 - دمج الحزم والهدوء,2025-07-29,15:00,----
اليوم 8 - دمج الحزم والهدوء,2025-07-29,18:00,----
اليوم 8 - دمج الحزم والهدوء,2025-07-29,21:00,----
اليوم 9 - دمج الحزم والهدوء,2025-07-30,06:00,اختر مهمة من يوم سابق وكررها بوعي وثبات
اليوم 9 - دمج الحزم والهدوء,2025-07-30,09:00,سجل الفرق بين رد فعلك اليوم ورد فعلك في اليوم الأول
اليوم 9 - دمج الحزم والهدوء,2025-07-30,12:00,أجب على: من أحاول ألا أكونه؟ ولماذا؟
اليوم 9 - دمج الحزم والهدوء,2025-07-30,15:00,----
اليوم 9 - دمج الحزم والهدوء,2025-07-30,18:00,----
اليوم 9 - دمج الحزم والهدوء,2025-07-30,21:00,----
